2025-07-21 13:07:25,131 - INFO - Performance: Frame 96000, Prediction: False
2025-07-21 13:07:32,403 - INFO - Performance: Frame 97000, Prediction: False
2025-07-21 13:07:38,633 - INFO - Performance: Frame 98000, Prediction: False
2025-07-21 13:07:44,831 - INFO - Performance: Frame 99000, Prediction: False
2025-07-21 13:07:51,038 - INFO - Performance: Frame 100000, Prediction: False
2025-07-21 13:07:57,238 - INFO - Performance: Frame 101000, Prediction: False
2025-07-21 13:08:03,577 - INFO - Performance: Frame 102000, Prediction: False
2025-07-21 13:08:10,140 - INFO - Performance: Frame 103000, Prediction: False
2025-07-21 13:08:16,314 - INFO - Performance: Frame 104000, Prediction: False
2025-07-21 13:08:24,707 - INFO - Performance: Frame 105000, Prediction: False
2025-07-21 13:08:33,386 - INFO - Performance: Frame 106000, Prediction: False
2025-07-21 13:08:41,276 - INFO - Performance: Frame 107000, Prediction: False
2025-07-21 13:08:48,664 - INFO - Performance: Frame 108000, Prediction: False
2025-07-21 13:08:55,856 - INFO - Performance: Frame 109000, Prediction: False
2025-07-21 13:09:04,212 - INFO - Performance: Frame 110000, Prediction: False
2025-07-21 13:09:11,463 - INFO - Performance: Frame 111000, Prediction: False
2025-07-21 13:09:19,534 - INFO - Performance: Frame 112000, Prediction: False
2025-07-21 13:09:27,303 - INFO - Performance: Frame 113000, Prediction: False
2025-07-21 13:09:34,621 - INFO - Performance: Frame 114000, Prediction: False
2025-07-21 13:09:43,284 - INFO - Performance: Frame 115000, Prediction: False
2025-07-21 13:09:50,818 - INFO - Performance: Frame 116000, Prediction: False
2025-07-21 13:09:58,731 - INFO - Performance: Frame 117000, Prediction: False
2025-07-21 13:10:06,461 - INFO - Performance: Frame 118000, Prediction: False
2025-07-21 13:10:14,433 - INFO - Performance: Frame 119000, Prediction: False
2025-07-21 13:10:21,214 - INFO - Performance: Frame 120000, Prediction: False
2025-07-21 13:10:28,855 - INFO - Performance: Frame 121000, Prediction: False
2025-07-21 13:10:36,128 - INFO - Performance: Frame 122000, Prediction: False
2025-07-21 13:10:43,819 - INFO - Performance: Frame 123000, Prediction: False
2025-07-21 13:10:50,655 - INFO - Performance: Frame 124000, Prediction: False
2025-07-21 13:10:57,636 - INFO - Performance: Frame 125000, Prediction: False
2025-07-21 13:11:04,617 - INFO - Performance: Frame 126000, Prediction: False
2025-07-21 13:11:12,815 - INFO - Performance: Frame 127000, Prediction: False
2025-07-21 13:11:21,412 - INFO - Performance: Frame 128000, Prediction: False
2025-07-21 13:11:28,900 - INFO - Performance: Frame 129000, Prediction: False
2025-07-21 13:11:36,554 - INFO - Performance: Frame 130000, Prediction: False
2025-07-21 13:11:45,373 - INFO - Performance: Frame 131000, Prediction: False
2025-07-21 13:11:48,925 - INFO - Closing...
2025-07-21 13:12:53,870 - INFO - Detected screen resolution: 1920x1080
2025-07-21 13:12:55,126 - INFO - Performance: Frame 1000, Prediction: False
2025-07-21 13:12:56,901 - INFO - Performance: Frame 2000, Prediction: False
2025-07-21 13:12:58,391 - INFO - Performance: Frame 3000, Prediction: False
2025-07-21 13:12:58,676 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-21 13:12:58,714 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-21 13:13:10,344 - INFO - Performance: Frame 4000, Prediction: False
2025-07-21 13:13:22,582 - INFO - Performance: Frame 5000, Prediction: False
2025-07-21 13:13:34,727 - INFO - Performance: Frame 6000, Prediction: False
2025-07-21 13:13:47,413 - INFO - Performance: Frame 7000, Prediction: False
2025-07-21 13:13:58,993 - INFO - Performance: Frame 8000, Prediction: False
2025-07-21 13:14:10,433 - INFO - Performance: Frame 9000, Prediction: False
2025-07-21 13:14:18,307 - INFO - Performance: Frame 10000, Prediction: False
2025-07-21 13:14:26,449 - INFO - Performance: Frame 11000, Prediction: False
2025-07-21 13:14:33,880 - INFO - Performance: Frame 12000, Prediction: False
2025-07-21 13:14:43,437 - INFO - Performance: Frame 13000, Prediction: False
2025-07-21 13:14:51,532 - INFO - Performance: Frame 14000, Prediction: False
2025-07-21 13:14:59,720 - INFO - Performance: Frame 15000, Prediction: False
2025-07-21 13:15:10,782 - INFO - Performance: Frame 16000, Prediction: False
2025-07-21 13:15:20,477 - INFO - Performance: Frame 17000, Prediction: False
2025-07-21 13:15:28,944 - INFO - Performance: Frame 18000, Prediction: False
2025-07-21 13:15:37,737 - INFO - Performance: Frame 19000, Prediction: False
2025-07-21 13:15:46,813 - INFO - Performance: Frame 20000, Prediction: False
2025-07-21 13:15:55,346 - INFO - Performance: Frame 21000, Prediction: False
2025-07-21 13:16:04,894 - INFO - Performance: Frame 22000, Prediction: False
2025-07-21 13:16:15,838 - INFO - Performance: Frame 23000, Prediction: False
2025-07-21 13:16:23,745 - INFO - Performance: Frame 24000, Prediction: False
